               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.066282,            0.059161,            0.019413,             0.02484,             0.20929,             0.04729,            0.021845,             0.03939,            0.033222,           0.0071594,            0.002872,            0.002872,            0.002872
                  38,            0.064759,            0.063133,            0.020136,             0.91197,               0.035,            0.062386,            0.028845,            0.033245,            0.033876,           0.0071368,            0.002674,            0.002674,            0.002674
                  39,            0.048734,            0.063424,            0.016619,             0.86769,               0.035,            0.057467,            0.029511,            0.035799,            0.033592,             0.00707,            0.002476,            0.002476,            0.002476
                  40,             0.05216,            0.061812,            0.017176,             0.86269,               0.035,             0.06504,            0.023639,            0.033693,            0.033766,           0.0070803,            0.002278,            0.002278,            0.002278
                  41,            0.048744,            0.061942,            0.016622,             0.61403,               0.065,            0.055847,            0.025683,            0.034273,            0.033605,           0.0070193,             0.00208,             0.00208,             0.00208
                  42,            0.049967,            0.068014,            0.017014,             0.87442,               0.035,            0.061781,            0.027238,            0.033724,             0.03367,           0.0069776,            0.001882,            0.001882,            0.001882
                  43,            0.049259,            0.061824,             0.01687,             0.61568,                0.06,            0.053664,            0.021696,            0.036125,            0.032571,           0.0070439,            0.001684,            0.001684,            0.001684
                  44,            0.049452,            0.067942,            0.015637,             0.62115,                0.06,            0.061787,            0.024418,            0.032046,            0.032907,           0.0070965,            0.001486,            0.001486,            0.001486
                  45,            0.046832,            0.065973,            0.015008,             0.58341,               0.095,            0.066611,            0.025715,            0.032045,             0.03311,           0.0070199,            0.001288,            0.001288,            0.001288
                  46,            0.061818,              0.0673,            0.015902,             0.62879,                0.07,            0.070581,             0.02743,             0.03085,            0.033023,           0.0069975,             0.00109,             0.00109,             0.00109
                  47,            0.047292,            0.066187,            0.014945,             0.59565,               0.085,             0.06307,            0.023497,            0.032265,            0.032534,           0.0069922,            0.000892,            0.000892,            0.000892
                  48,            0.046033,            0.062245,            0.014302,             0.89488,                0.06,            0.080771,            0.028235,            0.030572,            0.032644,            0.006968,            0.000694,            0.000694,            0.000694
                  49,            0.045665,            0.061166,            0.016361,             0.92537,                0.06,            0.091113,            0.032047,            0.030284,            0.032411,           0.0070006,            0.000496,            0.000496,            0.000496
